GBW, Gain, Pdiss, Fitness, time, performance weight, solution vector, solution path
23494800.0,136.279,0.00481386,-9.688478296762696,2025-0521-173458,"[1, 1, 1]","[4.52568268e-04 9.52953514e-07 5.88424295e-04 9.75468826e-07
 2.63994302e-04 7.11402744e-07 2.91129788e-04 1.10398125e-06
 5.38499663e-05 1.64815271e-06 6.99939054e-05 6.90615007e-07
 3.62463400e-05 1.16626181e-06 3.07658968e-04 1.17215267e-06
 7.65889029e-04 8.87023302e-07 3.91012962e-04 5.92783951e-07
 3.81410239e-04 5.63422957e-07 4.71035825e-04 1.28776679e-06
 6.53847675e-04 5.03122394e-07 1.37074289e-04 5.87085640e-07
 1.85783175e-12 2.78459448e-12]",STALE
7056340.0,124.213,0.00378313,-9.270728233262568,2025-0521-173839,"[1, 1, 1]","[8.08926653e-04 5.55383095e-07 4.58658335e-05 1.81904739e-06
 4.42989608e-04 5.67076786e-07 1.86784562e-06 1.73216645e-06
 5.80450072e-04 5.97911199e-07 1.16114558e-04 1.99716202e-06
 1.28049024e-04 5.92429414e-07 7.25290507e-04 1.90141554e-06
 7.97151394e-04 1.90860697e-06 7.39124502e-05 1.40580470e-06
 2.07702032e-04 1.72409948e-06 7.29787619e-04 9.41635620e-07
 8.43276051e-04 7.00495460e-07 4.39456392e-04 1.70760371e-06
 1.72887720e-12 1.89541135e-12]",STALE
17248100.0,133.614,0.00472371,-9.562458034070888,2025-0521-174032,"[1, 1, 1]","[1.60619171e-04 5.95173358e-07 8.15338612e-04 8.84877403e-07
 5.53832754e-04 6.25429544e-07 4.86349182e-04 7.22231767e-07
 4.77193494e-04 1.02390795e-06 4.52739631e-05 1.18401116e-06
 5.23944077e-04 7.45892122e-07 9.33058229e-04 5.99698318e-07
 2.11382720e-04 5.38257927e-07 9.26989742e-05 8.97806520e-07
 2.13831763e-04 1.89729294e-06 2.09332867e-04 1.97077990e-06
 6.35042118e-04 1.72329146e-06 7.96983384e-04 1.27892646e-06
 6.70406316e-13 1.95423655e-12]",STALE
466711.0,129.642,0.00243164,-8.283148758144707,2025-0521-174032,"[1, 1, 1]","[7.11090974e-04 1.10219657e-06 4.04192742e-04 1.88020978e-06
 4.29707295e-04 8.67242275e-07 2.20365950e-04 5.60064992e-07
 2.40995044e-04 1.16322921e-06 8.71945339e-07 1.38633656e-06
 7.75936242e-04 1.46933833e-06 9.95520663e-04 1.78678046e-06
 6.58276080e-04 1.04100089e-06 9.73116813e-04 1.78648500e-06
 9.95249598e-04 1.83092305e-06 7.45736645e-04 1.99562552e-06
 8.94026285e-05 1.12354040e-06 5.58008444e-04 5.19949893e-07
 2.01776072e-12 2.13298220e-12]",STALE
13717700.0,132.961,0.00462205,-9.472446661558505,2025-0521-174032,"[1, 1, 1]","[7.86069776e-04 1.24935696e-06 1.30549125e-04 1.93986245e-06
 3.12750448e-04 1.73133326e-06 6.28273045e-05 1.33508367e-06
 1.61011450e-04 6.83065744e-07 6.36318053e-05 1.06212906e-06
 6.15177436e-04 9.26883335e-07 8.20251026e-05 5.00566547e-07
 9.32343067e-04 1.13489098e-06 8.37978469e-04 1.43999329e-06
 7.20569655e-05 9.12384634e-07 3.75220667e-04 7.33458458e-07
 3.37378227e-04 1.94651315e-06 5.23918724e-04 5.38030669e-07
 1.25741491e-12 2.92939024e-12]",STALE
14103100.0,134.545,0.00475678,-9.47200151948177,2025-0521-174237,"[1, 1, 1]","[3.25500403e-04 8.94584410e-07 4.69874205e-04 8.84877403e-07
 5.53832754e-04 6.25429544e-07 6.93497081e-04 7.22231767e-07
 9.45590699e-04 1.02390795e-06 4.22095533e-05 1.44967632e-06
 5.23944077e-04 6.75726582e-07 9.80988295e-04 5.99698318e-07
 2.11382720e-04 5.02596790e-07 9.26989742e-05 1.44442678e-06
 4.47094016e-04 1.33161685e-06 2.09332867e-04 1.61281095e-06
 6.61422592e-04 1.72329146e-06 7.96983384e-04 1.65332477e-06
 7.11337785e-13 2.05823386e-12]",STALE
15195700.0,135.068,0.00367245,-9.616764819308878,2025-0521-174237,"[1, 1, 1]","[3.12347673e-04 5.95173358e-07 8.70168328e-04 8.84877403e-07
 2.74125496e-04 6.92339133e-07 8.42413939e-05 9.15647289e-07
 6.62217355e-04 8.52489586e-07 4.52739631e-05 1.18401116e-06
 4.82413603e-04 1.12402674e-06 9.81522598e-04 5.03800449e-07
 2.11382720e-04 5.38257927e-07 5.76112014e-05 1.44987406e-06
 2.13831763e-04 1.61206394e-06 6.11761768e-04 1.50826783e-06
 6.42508425e-04 1.99940620e-06 8.14694862e-04 1.49221181e-06
 7.86185117e-13 1.95546993e-12]",STALE
20157400.0,131.517,0.00393393,-9.709607886105625,2025-0521-174259,"[1, 1, 1]","[2.70589735e-04 7.47480178e-07 4.97901929e-04 9.96592359e-07
 1.03457284e-04 5.30853159e-07 8.42413939e-05 9.15647289e-07
 6.62217355e-04 8.52489586e-07 6.50457868e-05 1.18401116e-06
 2.32006116e-04 1.12402674e-06 8.29993127e-04 6.36975753e-07
 2.11382720e-04 5.35337528e-07 1.42036260e-04 1.44987406e-06
 1.45223979e-04 1.61206394e-06 5.51848203e-04 1.37562127e-06
 6.42508425e-04 1.79230017e-06 8.14694862e-04 1.42222452e-06
 1.27263425e-12 2.09834135e-12]",STALE
18362200.0,133.041,0.0044486,-9.615701355879512,2025-0521-174259,"[1, 1, 1]","[2.54384063e-04 5.95173358e-07 6.13068788e-04 9.10105985e-07
 4.27886581e-04 5.41389952e-07 8.42413939e-05 9.15647289e-07
 6.62217355e-04 8.52489586e-07 6.23003333e-05 1.18401116e-06
 7.84228930e-04 6.49010033e-07 7.72223780e-04 5.37598591e-07
 2.11382720e-04 6.45665233e-07 1.22230883e-04 8.75245768e-07
 1.37525506e-04 1.32828964e-06 2.37285002e-04 1.50826783e-06
 3.67743518e-04 1.54171185e-06 5.65113979e-04 1.44466902e-06
 7.86185117e-13 2.10532491e-12]",STALE
24728700.0,135.373,0.00642855,-9.585088259775102,2025-0521-174259,"[1, 1, 1]","[3.12347673e-04 5.63174123e-07 7.25635695e-04 8.84877403e-07
 6.78458967e-04 6.92339133e-07 4.96124860e-04 1.49028313e-06
 7.40843414e-04 8.52489586e-07 6.98663590e-05 1.23731564e-06
 4.82413603e-04 1.12402674e-06 9.81522598e-04 5.03800449e-07
 2.78676214e-04 5.38257927e-07 2.25118916e-04 1.44987406e-06
 6.69512355e-05 1.57907864e-06 3.49117793e-04 1.95412986e-06
 5.66498040e-04 1.34680489e-06 8.04242188e-04 1.49221181e-06
 1.94897838e-12 1.95546993e-12]",STALE
