GBW, Gain, Pdiss, Fitness, time, performance weight, solution vector, solution path
742401.0,131.294,0.000929379,-8.902445693146152,2025-0521-150633,"[1, 1, 1]","[9.55919364e-04 1.66930359e-06 3.01344275e-05 1.77590819e-06
 2.90301184e-04 6.42122887e-07 9.24440352e-04 1.34906126e-06
 1.49713163e-04 9.87386994e-07 2.36175704e-04 9.03690482e-07
 6.22832695e-04 1.91972636e-06 2.43009042e-05 1.81909084e-06
 1.80860967e-04 9.75854245e-07 5.26633707e-04 1.39437286e-06
 5.56878859e-04 1.42177795e-06 8.31069961e-04 6.77648487e-07
 2.07136079e-12 2.10162687e-12 3.50705646e+03]",STALE
83956.1,115.023,5.04224e-06,-10.221428742828436,2025-0521-150801,"[1, 1, 1]","[2.37997758e-04 1.10463823e-06 3.35483681e-04 9.46502332e-07
 3.63915058e-04 5.04682540e-07 5.30017050e-05 1.93912685e-06
 4.85388836e-04 1.70553603e-06 2.80081392e-04 1.19106863e-06
 3.12938053e-05 5.39286032e-07 1.29707184e-04 5.81318918e-07
 4.97397479e-04 1.70269787e-06 8.98515457e-04 9.53963795e-07
 2.92814686e-04 1.42975945e-06 3.26771936e-05 1.27866833e-06
 2.56548123e-12 2.22610517e-12 7.68436296e+03]",STALE
153449.0,120.26,8.56543e-06,-10.253214892343381,2025-0521-150801,"[1, 1, 1]","[5.27257406e-04 1.03383442e-06 3.66553741e-04 9.38362086e-07
 1.23182914e-04 1.38911315e-06 2.62704639e-04 1.48054860e-06
 8.76577268e-04 1.83464803e-06 4.45181783e-04 1.61440234e-06
 1.29743040e-04 1.46182030e-06 3.23625886e-04 1.62517477e-06
 9.85665937e-04 1.52216449e-06 7.31411363e-04 1.46639861e-06
 4.37315057e-04 1.13287340e-06 4.90699371e-04 1.07464516e-06
 2.44784347e-12 2.29883730e-12 1.25032011e+04]",STALE
413064.0,128.742,6.79187e-05,-9.784027981625364,2025-0521-150845,"[1, 1, 1]","[7.08627900e-04 7.69245455e-07 3.91774310e-04 1.52554720e-06
 9.50078985e-04 9.37596236e-07 3.48610873e-04 1.97321065e-06
 2.97707212e-04 6.91901998e-07 8.62909301e-04 1.00167119e-06
 7.57598111e-04 8.24284625e-07 5.68382783e-06 6.79860362e-07
 4.67268116e-04 1.75295987e-06 5.76869381e-04 1.78955633e-06
 2.44150149e-04 1.25850818e-06 9.32253027e-04 9.12911305e-07
 1.18154600e-12 2.56094388e-12 4.29522352e+03]",STALE
394320.0,128.355,6.37283e-05,-9.791516471641955,2025-0521-150939,"[1, 1, 1]","[8.31139072e-04 1.27825039e-06 7.77885862e-04 1.52554720e-06
 9.50078985e-04 9.37596236e-07 5.40040815e-04 1.97321065e-06
 2.97707212e-04 7.29640059e-07 8.62909301e-04 8.02053909e-07
 7.57598111e-04 8.24284625e-07 5.68382783e-06 8.08279392e-07
 5.28186434e-04 1.75295987e-06 4.93136823e-04 1.51889526e-06
 2.44150149e-04 1.25850818e-06 4.38202135e-04 8.85983613e-07
 1.18154600e-12 2.44292141e-12 9.56949004e+03]",STALE
406473.0,128.466,3.77951e-05,-10.031596204088943,2025-0521-150939,"[1, 1, 1]","[6.76011404e-04 1.31183308e-06 2.80493060e-04 9.38362086e-07
 1.26065336e-06 9.16346463e-07 7.61579111e-04 1.41461416e-06
 7.27106499e-04 1.33492302e-06 2.52916556e-04 1.61440234e-06
 1.29743040e-04 1.46182030e-06 2.01139366e-04 1.33479977e-06
 8.26269438e-04 1.08237112e-06 8.71807684e-04 1.46639861e-06
 5.69932977e-04 1.17306497e-06 6.59432231e-04 1.85764166e-06
 2.44784347e-12 1.42748445e-12 1.78050324e+04]",STALE
110432.0,117.412,7.34237e-06,-10.177258671729794,2025-0521-150949,"[1, 1, 1]","[5.27257406e-04 1.03383442e-06 7.40212912e-04 1.26067807e-06
 1.23182914e-04 1.15489117e-06 2.73531836e-04 1.31496764e-06
 8.76577268e-04 1.24329561e-06 4.63159766e-04 1.59857773e-06
 1.29743040e-04 1.60554342e-06 3.26020108e-04 1.62517477e-06
 9.21161554e-04 1.71751710e-06 8.61673481e-04 1.46639861e-06
 4.37315057e-04 1.13287340e-06 9.87940876e-04 1.85797512e-06
 2.44784347e-12 2.90625643e-12 1.71825343e+04]",STALE
218722.0,123.306,1.81554e-05,-10.080886646706846,2025-0521-150958,"[1, 1, 1]","[9.81229841e-04 1.25072638e-06 2.50700339e-04 9.38362086e-07
 4.44770694e-04 1.38911315e-06 2.75150822e-04 1.44875288e-06
 7.97314290e-04 1.11916225e-06 4.45181783e-04 1.56766187e-06
 1.29743040e-04 1.46182030e-06 2.81601518e-04 1.62517477e-06
 6.86737151e-04 9.15116681e-07 8.00875580e-04 1.44217035e-06
 4.37315057e-04 1.05453096e-06 5.93626191e-04 1.02149322e-06
 2.83123451e-12 1.58645294e-12 1.42152182e+04]",STALE
265554.0,124.99,1.51442e-05,-10.243906511067097,2025-0521-150958,"[1, 1, 1]","[5.85995939e-04 1.03383442e-06 3.66553741e-04 9.38362086e-07
 2.56096869e-04 1.59846238e-06 6.96691204e-04 1.46033684e-06
 8.76577268e-04 1.81133069e-06 3.00588030e-04 1.63769197e-06
 1.29743040e-04 1.27376669e-06 3.06064200e-04 1.62517477e-06
 6.45545390e-04 1.77305771e-06 7.31411363e-04 1.01582688e-06
 1.62802634e-04 9.79332727e-07 7.76809398e-04 1.86921884e-06
 1.20281144e-12 2.10193482e-12 1.37793306e+04]",STALE
175956.0,121.44,1.08698e-05,-10.209182527305765,2025-0521-151008,"[1, 1, 1]","[5.07323652e-04 1.11750038e-06 3.66553741e-04 8.73144485e-07
 1.98829768e-04 1.47458082e-06 5.42037455e-04 1.52905914e-06
 9.32631027e-04 1.83464803e-06 3.87231451e-04 1.61440234e-06
 1.29743040e-04 1.46182030e-06 3.23625886e-04 1.62517477e-06
 8.86341274e-04 1.49205554e-06 9.21492007e-04 1.46639861e-06
 4.37315057e-04 1.13287340e-06 7.13062294e-04 1.11276972e-06
 2.27106948e-12 2.29883730e-12 1.30323525e+04]",STALE
176711.0,121.478,1.2319e-05,-10.15668812931914,2025-0521-151008,"[1, 1, 1]","[5.27257406e-04 7.10670187e-07 2.81185261e-04 1.20144908e-06
 3.76557973e-04 9.79928705e-07 4.10924822e-04 1.51737902e-06
 8.76577268e-04 1.83464803e-06 4.34965350e-04 1.83362632e-06
 1.29341906e-04 1.33049954e-06 3.23625886e-04 1.62517477e-06
 8.18585777e-04 1.52216449e-06 8.34304871e-04 1.82373356e-06
 4.37315057e-04 1.11820154e-06 4.90699371e-04 1.07464516e-06
 2.42266598e-12 2.29883730e-12 1.30983618e+04]",STALE
155169.0,120.361,1.03172e-05,-10.177243111825499,2025-0521-151008,"[1, 1, 1]","[5.27257406e-04 5.90648837e-07 2.83821727e-04 1.28819067e-06
 3.17020758e-05 1.43028418e-06 2.31507515e-04 1.48250342e-06
 9.27221625e-04 1.56222445e-06 4.68796950e-04 1.66304960e-06
 1.29743040e-04 1.46182030e-06 3.46682478e-04 1.69262617e-06
 9.85665937e-04 1.52216449e-06 5.36596923e-04 1.49839653e-06
 4.53197704e-04 1.39078303e-06 6.91524460e-04 1.32118233e-06
 2.71413812e-12 2.20361781e-12 1.30518040e+04]",STALE
147296.0,119.9,7.68935e-06,-10.282301323860343,2025-0521-151017,"[1, 1, 1]","[4.62513184e-04 1.08416489e-06 7.18600654e-04 9.38319699e-07
 4.31521360e-04 1.36683419e-06 2.62704639e-04 1.48054860e-06
 8.76577268e-04 1.40353970e-06 4.45181783e-04 1.61440234e-06
 1.28115226e-04 1.53480787e-06 3.20094839e-04 1.66607505e-06
 8.40772339e-04 1.39176365e-06 9.38965301e-04 1.16388859e-06
 4.37315057e-04 1.13287340e-06 4.90699371e-04 1.07464516e-06
 2.32151567e-12 2.29883730e-12 1.33937879e+04]",STALE
187959.0,122.012,1.05951e-05,-10.248958065697389,2025-0521-151017,"[1, 1, 1]","[5.30103313e-04 1.15734161e-06 1.91055421e-04 9.38362086e-07
 2.14707438e-04 1.11181464e-06 2.34349137e-04 1.52065592e-06
 7.67253158e-04 1.99333086e-06 3.85715725e-04 1.80319041e-06
 1.17618673e-04 1.55315173e-06 2.54966462e-04 1.58359901e-06
 6.49088233e-04 1.52216449e-06 6.73830267e-04 1.34207658e-06
 5.41589549e-04 1.13287340e-06 4.90699371e-04 1.51235231e-06
 1.89392705e-12 2.00927038e-12 1.30365870e+04]",STALE
149175.0,120.014,8.42922e-06,-10.247908657581613,2025-0521-151018,"[1, 1, 1]","[4.94942974e-04 1.03383442e-06 6.81364976e-04 9.38362086e-07
 3.17258262e-04 1.46710672e-06 2.69605006e-04 1.50888276e-06
 9.21854430e-04 1.43359181e-06 4.04156235e-04 1.83675602e-06
 1.06295497e-04 1.46182030e-06 3.13417824e-04 1.68370139e-06
 9.09671160e-04 1.52216449e-06 7.51786618e-04 1.69515662e-06
 2.57352350e-04 9.16428975e-07 6.16523235e-04 1.54800542e-06
 1.75828155e-12 2.29883730e-12 1.29172490e+04]",STALE
127353.0,118.646,6.14186e-06,-10.31670926717028,2025-0521-151018,"[1, 1, 1]","[4.01911755e-04 1.09686397e-06 5.63152475e-04 1.10545356e-06
 4.72795464e-04 1.58348102e-06 5.09571505e-04 1.50559994e-06
 6.45185966e-04 1.94155441e-06 4.64230882e-04 1.67539238e-06
 1.29743040e-04 1.47349519e-06 3.13952134e-04 1.55942423e-06
 6.45116254e-04 1.38734308e-06 7.31411363e-04 1.08052629e-06
 4.37315057e-04 1.13287340e-06 8.30016173e-04 8.93025822e-07
 2.16259505e-12 2.69575571e-12 1.35337813e+04]",STALE
169364.0,121.12,7.86323e-06,-10.333220123205168,2025-0521-151027,"[1, 1, 1]","[4.90424115e-04 1.09686397e-06 5.63152475e-04 1.56737214e-06
 4.72795464e-04 1.58348102e-06 2.81784306e-04 1.49579029e-06
 6.45185966e-04 1.63779890e-06 4.23727210e-04 1.67539238e-06
 1.48318669e-04 1.30554432e-06 3.13952134e-04 1.57885831e-06
 7.43697658e-04 1.40350804e-06 7.62063696e-04 1.21442711e-06
 4.37315057e-04 9.63163379e-07 9.74225414e-04 1.12633082e-06
 1.64101454e-12 2.69575571e-12 1.45734554e+04]",STALE
244294.0,124.293,1.23893e-05,-10.294866031312688,2025-0521-151036,"[1, 1, 1]","[5.82177972e-04 9.01432171e-07 3.77243709e-04 1.54711981e-06
 1.33876655e-04 1.86894134e-06 6.25030164e-04 1.49579029e-06
 6.45185966e-04 1.63779890e-06 3.85868643e-04 1.27996060e-06
 2.32672869e-04 1.37301978e-06 3.07772791e-04 1.58847641e-06
 7.43697658e-04 1.40350804e-06 7.23001220e-04 1.75980879e-06
 3.75307555e-04 1.10348490e-06 6.25614721e-04 1.44961005e-06
 1.31081469e-12 2.69575571e-12 1.30139397e+04]",STALE
201396.0,122.615,9.65589e-06,-10.319258530990695,2025-0521-151036,"[1, 1, 1]","[4.90424115e-04 9.17257977e-07 1.82752598e-04 1.41309847e-06
 1.00784364e-04 1.01741795e-06 1.50664979e-04 1.50220001e-06
 8.23421818e-04 1.63779890e-06 3.62653617e-04 1.59026005e-06
 1.48318669e-04 1.40939334e-06 3.20276609e-04 1.61313210e-06
 6.34143993e-04 1.40350804e-06 4.98356180e-04 6.47662986e-07
 4.55036361e-04 8.78668097e-07 9.74225414e-04 1.26127791e-06
 1.75815247e-12 2.47210685e-12 1.45734554e+04]",STALE
239870.0,124.132,1.02476e-05,-10.369353770111754,2025-0521-151036,"[1, 1, 1]","[5.62236453e-04 1.12002685e-06 5.63152475e-04 1.31709351e-06
 2.04044779e-04 1.87119712e-06 6.32143504e-04 1.54549749e-06
 4.99266108e-04 1.63779890e-06 4.38169285e-04 1.65007003e-06
 2.20895592e-04 1.29559917e-06 3.15614689e-04 1.62298130e-06
 7.86778845e-04 1.56096705e-06 6.65314461e-04 8.59527647e-07
 3.59699476e-04 1.06477718e-06 7.55569044e-04 1.53143241e-06
 1.64101454e-12 2.69575571e-12 9.29799364e+03]",STALE
176156.0,121.461,8.51114e-06,-10.315909705854084,2025-0521-151036,"[1, 1, 1]","[5.12937240e-04 8.92516087e-07 4.62879045e-04 1.68286621e-06
 5.12876638e-04 1.46657530e-06 2.91710480e-04 1.40623562e-06
 9.16322694e-04 1.38386757e-06 3.66549018e-04 1.44966047e-06
 1.48318669e-04 1.38277245e-06 3.24199396e-04 1.60828034e-06
 5.31460325e-04 1.38846173e-06 9.20745979e-04 1.58346888e-06
 4.37315057e-04 1.00923796e-06 7.85468626e-04 1.30279797e-06
 1.64101454e-12 2.69575571e-12 1.45734554e+04]",STALE
227855.0,123.674,6.1892e-06,-10.566024046220402,2025-0521-151037,"[1, 1, 1]","[5.14916565e-04 1.00625128e-06 3.44378694e-04 1.47271270e-06
 2.81337804e-04 1.61094071e-06 2.80797747e-05 1.54554470e-06
 6.45185966e-04 1.38327731e-06 4.23727210e-04 1.35900340e-06
 2.29892029e-04 1.37660594e-06 3.13952134e-04 1.67894401e-06
 7.43697658e-04 1.51025302e-06 4.69708866e-04 9.61404064e-07
 4.37315057e-04 9.74441173e-07 9.74225414e-04 1.74021650e-06
 1.64101454e-12 2.66383350e-12 1.99951742e+04]",STALE
281454.0,125.507,1.05237e-05,-10.427238966074995,2025-0521-151046,"[1, 1, 1]","[6.33796926e-04 1.11490693e-06 1.09753006e-04 1.72947847e-06
 6.49200280e-04 1.63625455e-06 2.80797747e-05 1.47846085e-06
 5.09336097e-04 1.13859324e-06 3.87891731e-04 1.35900340e-06
 2.61068877e-04 1.66552685e-06 3.13952134e-04 1.67894401e-06
 7.43697658e-04 8.19292016e-07 4.71691144e-04 9.78150338e-07
 3.78227018e-04 1.47713259e-06 7.40454686e-04 1.74021650e-06
 1.64101454e-12 2.39823915e-12 1.99951742e+04]",STALE
199230.0,122.51,5.95665e-06,-10.524352652323866,2025-0521-151046,"[1, 1, 1]","[5.65604076e-04 1.29542417e-06 3.44378694e-04 1.47292879e-06
 2.81337804e-04 1.61094071e-06 2.80797747e-05 1.45288794e-06
 7.49290908e-04 8.42253447e-07 4.23727210e-04 1.21404463e-06
 2.29892029e-04 1.62489417e-06 3.26979630e-04 1.75017371e-06
 6.89214053e-04 1.30838123e-06 6.05903576e-04 1.16417186e-06
 4.94958119e-04 1.67977571e-06 9.66920459e-04 8.27573610e-07
 1.64101454e-12 2.63631139e-12 1.99951742e+04]",STALE
320352.0,126.578,1.00654e-05,-10.502796401220714,2025-0521-151046,"[1, 1, 1]","[5.14916565e-04 6.77121350e-07 1.62799417e-04 1.12160240e-06
 2.81278647e-04 1.04587898e-06 2.80797747e-05 1.47211965e-06
 6.66375558e-04 8.15142103e-07 2.93163476e-04 1.46453390e-06
 2.29892029e-04 1.50280682e-06 2.89652747e-04 1.67894401e-06
 6.88221417e-04 1.97449362e-06 4.69708866e-04 1.05073780e-06
 3.86213708e-04 9.74441173e-07 9.74225414e-04 1.34111820e-06
 2.87574577e-12 2.66383350e-12 1.38022996e+04]",./circuit_database/NMCNR/result_folder/2025-0521-151046
230691.0,123.78,7.09713e-06,-10.511947891234852,2025-0521-151056,"[1, 1, 1]","[5.14916565e-04 7.36537240e-07 2.52628208e-04 1.08149012e-06
 2.81337804e-04 1.61094071e-06 2.80797747e-05 1.42815366e-06
 7.56887252e-04 1.45164481e-06 3.46501011e-04 5.02153008e-07
 2.98841318e-04 1.54243287e-06 2.91748040e-04 1.69368432e-06
 7.43697658e-04 1.56331813e-06 5.26994903e-04 5.75397734e-07
 2.30314236e-04 1.13943738e-06 6.68533634e-04 1.97286731e-06
 1.68728444e-12 2.50999138e-12 1.99951742e+04]",STALE
233076.0,123.873,9.55699e-06,-10.38717642463093,2025-0521-151106,"[1, 1, 1]","[5.14916565e-04 9.85437334e-07 4.14929107e-04 1.46988447e-06
 2.81337804e-04 1.61094071e-06 2.01635568e-04 1.55755783e-06
 6.78790809e-04 1.27526938e-06 3.62015612e-04 1.14117514e-06
 2.29892029e-04 1.61075097e-06 3.13952134e-04 1.67894401e-06
 9.61691242e-04 1.51025302e-06 6.59102948e-04 9.61404064e-07
 1.23742944e-04 9.74441173e-07 2.85607237e-04 5.89179862e-07
 1.78372714e-12 2.57682025e-12 1.99951742e+04]",STALE
231571.0,123.77,7.4513e-06,-10.492452122013761,2025-0521-151115,"[1, 1, 1]","[5.14916565e-04 7.71124753e-07 5.67194197e-04 1.17293029e-06
 2.81337804e-04 1.10190997e-06 2.84478484e-05 1.54554470e-06
 7.43440225e-04 1.32248664e-06 4.23727210e-04 1.35900340e-06
 2.49284366e-04 1.52002706e-06 3.08196012e-04 1.75601634e-06
 7.43697658e-04 1.57482284e-06 5.47917292e-04 9.61404064e-07
 5.29221904e-04 9.74441173e-07 7.12578310e-04 1.83065436e-06
 1.93016148e-12 2.66383350e-12 1.46041928e+04]",STALE
