GBW, Gain, Pdiss, Fitness, time, performance weight, solution vector, solution path
447.514,69.5681,0.000986801,-5.656577045384548,2025-0521-211527,"[1, 1, 1]","[2.83216619e-12 1.97108217e-12 2.64919486e-04 1.75183205e-06
 2.81979804e-04 1.62220874e-06 4.40862138e-04 7.54380968e-07
 5.32729247e-04 1.55535313e-06 1.34447405e-04 1.31586040e-06
 4.15818041e-04 1.11722700e-06 1.73935515e+04 1.41004866e+04
 3.44200546e-04 1.33893371e-06 8.08538399e-04 1.49074799e-06
 9.49795232e-05 1.06951706e-06 4.79675354e-04 1.36461467e-06
 5.58564096e-04 1.31466775e-06 9.14513466e-04 1.93375390e-06
 4.02807417e-04 9.70672243e-07]",STALE
217.614,63.3056,0.000603601,-5.556936881257833,2025-0521-211636,"[1, 1, 1]","[1.96912990e-12 2.21760617e-12 2.63594056e-04 9.30994892e-07
 3.17346741e-04 1.72571632e-06 6.23261209e-04 1.26053453e-06
 6.15935603e-04 1.95286406e-06 9.55799676e-04 1.71460074e-06
 2.83990166e-04 9.13416568e-07 1.79243369e+04 1.89633590e+04
 9.69863273e-05 1.39904927e-06 7.95268385e-04 1.47833843e-06
 3.28502958e-05 5.41249309e-07 7.16395078e-04 1.96067694e-06
 3.88857010e-04 1.38579997e-06 9.48951996e-04 1.21220364e-06
 2.37154154e-04 1.49790754e-06]",STALE
550.542,71.3653,0.00110411,-5.697778112895091,2025-0521-211856,"[1, 1, 1]","[1.62064032e-12 8.43279436e-13 1.78736687e-04 1.48727872e-06
 3.02938715e-04 1.82917259e-06 3.92680540e-04 1.39247107e-06
 8.71761335e-04 1.07244494e-06 4.16464452e-04 8.27932656e-07
 6.01320823e-04 1.83903899e-06 5.12806010e+03 1.14661846e+04
 5.26215949e-04 1.87110400e-06 9.22639897e-04 1.33258808e-06
 2.96507963e-04 5.52478342e-07 7.85673897e-04 1.27385543e-06
 9.66421788e-04 9.32884421e-07 4.74091751e-04 9.79880203e-07
 1.76606747e-04 5.89600221e-07]",STALE
1243.1,78.4332,0.000576208,-6.3339267827777865,2025-0521-212007,"[1, 1, 1]","[2.93050117e-12 2.84372199e-12 1.97883256e-04 8.59929112e-07
 6.94868167e-04 1.32816735e-06 3.05117090e-04 8.31809334e-07
 2.12153076e-04 7.43488008e-07 6.22337437e-04 8.12807142e-07
 3.79990915e-04 1.62672804e-06 1.91405476e+04 1.33959469e+04
 1.18231640e-04 1.68303923e-06 9.84946421e-04 9.51045415e-07
 6.36862044e-05 9.03629187e-07 5.42627687e-04 1.05556928e-06
 1.35270931e-04 1.85131604e-06 6.71792008e-04 1.79929328e-06
 3.14747420e-05 6.85775981e-07]",STALE
1335.87,79.0647,0.000892147,-6.175327777458769,2025-0521-212056,"[1, 1, 1]","[2.84582853e-12 1.96209524e-12 2.42441074e-04 1.75183205e-06
 7.92215829e-04 1.72100573e-06 3.10613454e-04 7.14281137e-07
 9.49793508e-04 1.98303943e-06 1.19965011e-04 1.78473118e-06
 4.15818041e-04 1.05229718e-06 1.49466574e+04 1.30158341e+04
 1.71305174e-04 1.25733653e-06 9.67449699e-04 1.20208319e-06
 1.34276928e-04 1.53468527e-06 3.94924848e-04 1.11620489e-06
 5.58564096e-04 1.57612843e-06 8.59647556e-04 1.19926473e-06
 3.44234337e-04 1.34469297e-06]",STALE
1437.8,79.7039,0.000973455,-6.1693825991291655,2025-0521-212217,"[1, 1, 1]","[2.84307997e-12 1.96209524e-12 2.18708998e-04 1.70118491e-06
 7.04411082e-04 1.84082656e-06 2.46284650e-04 1.05547859e-06
 9.88336567e-04 1.54362361e-06 1.19965011e-04 1.78473118e-06
 4.15818041e-04 1.05229718e-06 1.77174794e+04 1.59333949e+04
 6.22205312e-04 1.28763702e-06 9.67449699e-04 1.04124776e-06
 1.14472159e-04 1.84377364e-06 6.97248229e-04 1.62934676e-06
 6.24596347e-04 1.62105265e-06 8.59647556e-04 1.19926473e-06
 3.18032810e-04 8.62849013e-07]",STALE
1531.63,80.2508,0.00104074,-6.167811617634949,2025-0521-212217,"[1, 1, 1]","[2.83886848e-12 2.01439651e-12 2.24603326e-04 1.63111546e-06
 7.92215829e-04 1.73655093e-06 3.10613454e-04 8.88059065e-07
 9.32542783e-04 1.57736426e-06 4.11596193e-04 1.78473118e-06
 4.15818041e-04 1.05632159e-06 1.49466574e+04 1.30158341e+04
 2.55709582e-04 7.26062747e-07 9.49269787e-04 1.05067999e-06
 1.22177735e-04 1.53468527e-06 5.05714613e-04 1.11620489e-06
 5.33054507e-04 1.53898402e-06 7.78902684e-04 1.88077428e-06
 3.65025070e-04 1.54953893e-06]",STALE
1547.91,80.3434,0.000903695,-6.233723826528294,2025-0521-212301,"[1, 1, 1]","[2.84582853e-12 1.86534428e-12 2.45562508e-04 1.56162920e-06
 6.67521116e-04 1.56339877e-06 2.84012835e-04 5.19250677e-07
 9.92871559e-04 1.97449936e-06 1.56648737e-04 1.78473118e-06
 4.07387158e-04 1.05662609e-06 1.49466574e+04 1.30087026e+04
 1.71305174e-04 1.12687040e-06 9.67449699e-04 1.20208319e-06
 1.87125056e-04 1.53468527e-06 3.38543510e-04 1.39621040e-06
 5.58564096e-04 1.61323971e-06 7.85937125e-04 1.50681766e-06
 3.01183150e-04 1.35496736e-06]",STALE
2309.85,83.8209,0.000989021,-6.368378264914868,2025-0521-212301,"[1, 1, 1]","[2.84582853e-12 1.85021600e-12 2.34485113e-04 1.84126614e-06
 8.28600686e-04 1.85822233e-06 3.16962799e-04 8.60357935e-07
 9.56576412e-04 1.92804457e-06 1.19965011e-04 1.78473118e-06
 4.09517615e-04 1.05229718e-06 1.52431029e+04 1.41484949e+04
 3.82193184e-04 1.65194062e-06 9.33871197e-04 8.71309422e-07
 9.52703614e-05 1.53468527e-06 2.84108974e-04 8.77427268e-07
 5.19195170e-04 1.61396325e-06 8.52511206e-04 1.25904395e-06
 3.44234337e-04 1.59699851e-06]",STALE
1566.7,80.4502,0.000928275,-6.227309189092626,2025-0521-212301,"[1, 1, 1]","[2.84318699e-12 2.01191663e-12 2.30407793e-04 1.54016923e-06
 7.92215829e-04 1.72100573e-06 3.10613454e-04 1.06530050e-06
 9.56812487e-04 1.98303943e-06 1.80662548e-04 1.78473118e-06
 4.16491506e-04 1.06418144e-06 1.63832458e+04 1.41719551e+04
 1.99151942e-04 1.25733653e-06 8.85924221e-04 1.20208319e-06
 1.84360070e-04 1.68738714e-06 2.60450951e-04 1.01412311e-06
 5.75481208e-04 1.49907008e-06 8.59647556e-04 1.39535474e-06
 3.30964311e-04 1.46863447e-06]",STALE
